"","AVGFACSAL","SAT_AVG","RET_FT4","PCIP12","PCIP46","COMP_2YR_TRANS_YR2_RT","IND_WDRAW_2YR_TRANS_YR2_RT","NOPELL_WDRAW_4YR_TRANS_YR2_RT","COMP_2YR_TRANS_YR3_RT","UNKN_4YR_TRANS_YR4_RT","DEP_ENRL_2YR_TRANS_YR4_RT","LO_INC_COMP_2YR_TRANS_YR6_RT","LOAN_UNKN_ORIG_YR6_RT","FIRSTGEN_COMP_2YR_TRANS_YR6_RT","DEP_WDRAW_2YR_TRANS_YR8_RT","IND_WDRAW_2YR_TRANS_YR8_RT","PELL_WDRAW_4YR_TRANS_YR8_RT","IND_INC_PCT_H2","GT_25K_P6","MN_EARN_WNE_P6","COSTT4_A","RETURN"
"406006",3194,970.535163636364,0.4634,0,0,0.00787734,0.029903437,0.046256029,0.012556655,0.005611064,0.028581531,0.030275247,0.009451125,0.024562807,0.06099978,0.037393432,0.137397866,0.0197037804,0.596,36500,23848,0.530526668903053
"406015",3294,988.143096969697,0.6805,0,0,0.00787734,0.029903437,0.046256029,0.012556655,0.005611064,0.028581531,0.030275247,0.009451125,0.024562807,0.06099978,0.037393432,0.137397866,0.0197037804,0.596,36500,24988,0.460701136545542
"406194",3755,922.812266666667,0.5714,0,0,0.023943662,0.044083527,0.0627080100663667,0.021759697,0.009944065,0.019354839,0.035904255,0.014842301,0.021812081,0.060532688,0.050607287,0.107876712,0.0101899150662733,0.461,26300,28604,-0.0805481750804083
"406200",5134,892.477700000001,0.7179,0,0,0.005158438,0.0454947,0.0743565012969001,0.012412304,0.011064278,0.0211572681061667,0.0257069603528666,0.034836066,0.017211704,0.07486631,0.070356473,0.104355886076267,0.00786483262068667,0.271,18100,16341,0.107643351080105
"407009",8293,1073,0.8435,0,0,0.004772293,0.024869346,0.023620357,0.00769452,0.003528115,0.021195652,0.013107345,0.008352474,0.013813518,0.059260455,0.042911634,0.051657813,0.0436772692,0.728,40300,20269,0.988257930830332
"407063",5393,941.561833333333,0,0,0,0.006893369,0.029339853,0.036825954,0.006985228,0.023048297,0.010621921,0.020873599,0.019602851,0.020045558,0.069049553,0.041760216,0.149405024,0.0098172538,0.593,34000,27999,0.214329083181542
"407285",3890,964.146799999999,0.56477610952381,0,0,0.011104942,0.036943745,0.035714286,0.011700183,0.00783585612959999,0.028670721,0.034437947,0.010211268,0.029571984,0.076219512,0.06075419,0.126634549,0.0240050537,0.593,30400,25434,0.195250452150664
"407319",5368,942.005833333333,0.451505256482896,0,0,0.006893369,0.029339853,0.036825954,0.006985228,0.023048297,0.010621921,0.020873599,0.019602851,0.020045558,0.069049553,0.041760216,0.149405024,0.0098172538,0.593,34000,27467,0.237849055229912
"407328",3506,946.033599999999,0.394167284384361,0,0,0.010660487,0.037787514,0.044925125,0.017226277,0.018762564,0.022624434,0.0263308438743666,0.0117811873215333,0.019011407,0.050583658,0.037339557,0.147562582,0.0145711907,0.566,30900,24956,0.238179195383876
"408039",4966,991.227299999999,1,0,0,0.007660293,0.042752955,0.040449438,0.009244928,0.036816065,0.021084337,0.0289824665532333,0.0204273307149667,0.027667984,0.0537348838246333,0.0478820050975666,0.106881118106267,0.0052680222,0.537,29100,23423,0.242368612047987
"409069",5611,1016.22026666667,1,0,0,0.006893369,0.029339853,0.036825954,0.006985228,0.023048297,0.010621921,0.020873599,0.019602851,0.020045558,0.069049553,0.041760216,0.149405024,0.0098172538,0.593,34000,27139,0.252809609786654
"409315",5953,937.2448,0.8571,0.0088,0.0071,0.024737076,0.025826914,0.0600437531089,0.042028323,0.013075611,0.013639464,0.089214381,0.0293401673704,0.085431284,0.025301205,0.027856737,0.111315859460633,0.00961563881667333,0.447,27800,6412,3.33562071116656
"409838",5000,953.264133333333,0.401846649552004,0,0,0.009612012,0.028172188,0.066447007,0.016132782,0.007079718,0.020973783,0.031566409,0.005914685,0.02674655,0.06119403,0.035585625,0.181453989,0.0182762779,0.549,34300,23260.9008147664,0.474577458248126
"409874",4150,917.689366666667,0.614748873333334,0,0,0.124761177,0.182384342,0.017817372,0.089456246,0.0216528225163,0.034366577,0.030405405,0.047037263,0.024447031,0.039534884,0.032911392,0.0875,0.0090143343,0.496,26600,22680,0.172839506172839
"410496",3971,898.669793939394,0.456758753333333,0,0,0.012330199,0.053770853,0.038863976,0.021602329,0.004336513,0.024570025,0.046917131,0.0136685,0.042777778,0.093830334,0.065330364,0.117484597,0.0062011943,0.386,22700,21475,0.0570430733410943
"410502",5268,943.319666666666,0.6495,0.1643,0,0.009316141,0.030054899,0.063967136,0.014723615,0.011389522,0.0206808255742333,0.025569761,0.025008336,0.022551092,0.059278351,0.033084312,0.128093159,0.0081728435,0.632,35400,33677,0.051162514475755
"410539",3421,890.779533333334,0.580176070476191,0,0,0.01122291,0.024188791,0.0545660390194333,0.010600707,0.0215249958839333,0.0190436852905334,0.033091203,0.032531345,0.036281179,0.056119403,0.046342398,0.083797246,0.0042768274,0.411,22800,26125,-0.127272727272727
