"","AVGFACSAL","SAT_AVG","RET_FT4","PCIP12","PCIP46","COMP_2YR_TRANS_YR2_RT","IND_WDRAW_2YR_TRANS_YR2_RT","NOPELL_WDRAW_4YR_TRANS_YR2_RT","COMP_2YR_TRANS_YR3_RT","UNKN_4YR_TRANS_YR4_RT","DEP_ENRL_2YR_TRANS_YR4_RT","LO_INC_COMP_2YR_TRANS_YR6_RT","LOAN_UNKN_ORIG_YR6_RT","FIRSTGEN_COMP_2YR_TRANS_YR6_RT","DEP_WDRAW_2YR_TRANS_YR8_RT","IND_WDRAW_2YR_TRANS_YR8_RT","PELL_WDRAW_4YR_TRANS_YR8_RT","IND_INC_PCT_H2","GT_25K_P6","MN_EARN_WNE_P6","COSTT4_A"
"240277",6254,1070,0.7411,0,0,0.010779962,0.0292231373311667,0.06022187,0.02037037,0.00911350170943334,0.0263595745719,0.046448087,0.01216545,0.049657534,0.038622129,0.039215686,0.058614565,0.0315487572,0.67,33200,15659
"240365",6685,1030,0.7554,0,0,0.00949848,0.0263374556438334,0.043552519,0.018673781,0.008298755,0.0230514229267,0.020109689,0.012162877,0.017301038,0.049815498,0.0325,0.059685864,0.0239693193,0.713,35200,16823
"240374",6305,970,0.6186,0,0,0.024308466,0.029411765,0.039893617,0.028809704,0.0100557311805667,0.0303102566468333,0.042316258,0.018981019,0.05065666,0.072796935,0.042105263,0.114379085,0.0177705977,0.567,30300,17406
"240392",5196,931.091866666667,0.3494,0,0,0.010364964,0.034189518,0.087837838,0.017199017,0.0128554487371,0.0281171389242,0.033103448,0.022810219,0.038528897,0.0631553664175333,0.0511058198156333,0.142857143,0.0165821571,0.564,31300,21594
"240417",6346,1030,0.6955,0,0,0.014903846,0.029891304,0.046535677,0.025614219,0.00977783561826668,0.0266511207625,0.0333465922509,0.01084991,0.031298905,0.056809339,0.038610039,0.057377049,0.0345821326,0.739,36700,17758
"240453",7863,1010,0.6907,0,0,0.011050663,0.022123894,0.039097138,0.018392371,0.003072474,0.026721954,0.031040779,0.009941647,0.042864611,0.050989965,0.039007092,0.066695539,0.0121341899,0.681,35200,20815
"240462",6153,1050,0.7648,0,0,0.012593017,0.046296296,0.050135501,0.023145401,0.00907837183723334,0.0266259818642333,0.0357296479195,0.007570023,0.037800687,0.0468158880360333,0.0375813386700333,0.058043118,0.0315533981,0.726,38300,16175
"240471",6956,1030,0.6904,0,0,0.020156047,0.041841004,0.031294452,0.0255609887860667,0.00804630064043333,0.0294840002720333,0.048338369,0.0118822107523333,0.03515625,0.0584641148464001,0.0437374758966334,0.051020408,0.0261096606,0.69,33400,16422
"240480",6239,1070,0.8232,0,0,0.012339585,0.045138889,0.039443156,0.012887828,0.00701881508123333,0.0212820375544667,0.030737705,0.010832383,0.03562341,0.027631579,0.036764706,0.068812431,0.0191829527703967,0.635,31100,16039
"240620",6146,923.3927,0.595367376666667,0,0.0015,0.012889366,0.0390605619290334,0.096774194,0.023041475,0.0144610244758334,0.0256856092812667,0.04040404,0.0252937362929,0.037800687,0.066176471,0.037533512,0.138297872,0.0135021097,0.553,32000,8550
"240727",8700,1122,0.7572,0,0,0.020344288,0.039881832,0.032653061,0.028311426,0.00873670163026666,0.0322201325928334,0.047913447,0.02006689,0.051813472,0.056589147,0.036777583,0.0505345,0.021641791,0.694,40300,17174
"242617",4706,901.526233333334,0.7408,0.0486,0,0.018624761,0.009865471,0.050561798,0.026308773,0.056200858,0.0205073387305667,0.039729602,0.048249153,0.04379562,0.012842224,0.009639304,0.062381664,0.00558888012267667,0.226,17800,10722
